;ID;Vakantiekenmerken;Perioden;Totaal;Auto;Touringcar;Vliegtuig;Overig vervoer;Niet georganiseerd
346;346;zomerhuis;2003;67;0;0;0;0;67
347;347;zomerhuis;2004;82;0;0;0;0;82
348;348;zomerhuis;2005;40;0;0;0;0;40
349;349;zomerhuis;2006;87;0;0;0;0;87
350;350;zomerhuis;2007;156;0;0;0;0;156
351;351;zomerhuis;2008;160;1;0;0;0;160
352;352;zomerhuis;2009;203;0;0;0;0;203
353;353;zomerhuis;2010;127;0;0;0;0;127
354;354;zomerhuis;2011;190;0;0;0;0;190
355;355;zomerhuis;2012;104;0;0;0;0;0
356;356;zomerhuis;2013;0;0;0;0;0;0
357;357;zomerhuis;2014;0;0;0;0;0;0
358;358;zomerhuis;2015;0;0;0;0;0;0
359;359;zomerhuis;2016;0;0;0;0;0;0
360;360;caravan;2002;123;0;0;0;0;123
361;361;caravan;2003;161;0;0;0;0;161
362;362;caravan;2004;141;0;0;0;0;141
363;363;caravan;2005;118;0;0;0;0;118
364;364;caravan;2006;86;0;0;0;0;86
365;365;caravan;2007;81;0;0;0;0;81
366;366;caravan;2008;85;0;0;0;0;85
367;367;caravan;2009;75;0;0;0;0;75
368;368;caravan;2010;113;0;0;0;0;113
369;369;caravan;2011;81;0;0;0;0;81
370;370;caravan;2012;47;0;0;0;0;0
371;371;caravan;2013;0;0;0;0;0;0
372;372;caravan;2014;0;0;0;0;0;0
373;373;caravan;2015;0;0;0;0;0;0
374;374;caravan;2016;0;0;0;0;0;0
375;375;boot;2002;0;0;0;0;0;0
376;376;boot;2003;0;0;0;0;0;0
377;377;boot;2004;0;0;0;0;0;0
378;378;boot;2005;0;0;0;0;0;0
379;379;boot;2006;0;0;0;0;0;0
380;380;boot;2007;0;0;0;0;0;0
381;381;boot;2008;0;0;0;0;0;0
382;382;boot;2009;0;0;0;0;0;0
383;383;boot;2010;0;0;0;0;0;0
384;384;boot;2011;2;0;0;0;0;2
385;385;boot;2012;0;0;0;0;0;0
386;386;boot;2013;0;0;0;0;0;0
387;387;boot;2014;0;0;0;0;0;0
388;388;boot;2015;0;0;0;0;0;0
389;389;boot;2016;0;0;0;0;0;0
390;390;Tent;2002;10;0;0;0;0;10
391;391;Tent;2003;3;0;0;0;0;3
392;392;Tent;2004;0;0;0;0;0;0
393;393;Tent;2005;3;0;0;0;0;3
394;394;Tent;2006;0;0;0;0;0;0
395;395;Tent;2007;2;0;0;0;0;2
396;396;Tent;2008;3;0;0;0;0;3
397;397;Tent;2009;3;0;0;0;0;3
398;398;Tent;2010;8;0;0;0;0;8
399;399;Tent;2011;5;0;0;0;0;5
400;400;Tent;2012;0;0;0;0;0;0
401;401;Tent;2013;0;0;0;0;0;0
402;402;Tent;2014;0;0;0;0;0;0
403;403;Tent;2015;0;0;0;0;0;0
404;404;Tent;2016;0;0;0;0;0;0
405;405;toerist logies;2002;3391;830;189;360;451;1561
406;406;toerist logies;2003;3226;923;241;348;404;1309
407;407;toerist logies;2004;3340;1001;201;448;339;1351
408;408;toerist logies;2005;3131;998;255;374;294;1209
409;409;toerist logies;2006;3056;838;208;456;336;1219
410;410;toerist logies;2007;3422;995;203;497;393;1334
411;411;toerist logies;2008;3116;1044;144;456;343;1129
412;412;toerist logies;2009;3534;1202;201;511;376;1244
413;413;toerist logies;2010;3377;1232;150;570;322;1103
414;414;toerist logies;2011;3423;1439;184;599;420;781
415;415;toerist logies;2012;3634;1459;180;713;394;888
416;416;toerist logies;2013;3476;1505;123;743;354;751
417;417;toerist logies;2014;3259;1348;183;677;301;749
418;418;toerist logies;2015;3545;1506;152;730;351;806
419;419;toerist logies;2016;3390;1506;135;801;305;644
420;420;woning familie;2002;444;6;0;44;27;367
421;421;woning familie;2003;422;9;7;68;17;321
422;422;woning familie;2004;519;4;0;82;20;412
423;423;woning familie;2005;373;0;0;32;6;335
424;424;woning familie;2006;359;10;0;62;21;266
425;425;woning familie;2007;373;2;4;68;26;273
426;426;woning familie;2008;354;12;0;57;8;276
427;427;woning familie;2009;334;0;0;50;12;273
428;428;woning familie;2010;364;2;2;73;20;267
429;429;woning familie;2011;284;0;8;93;16;167
430;430;woning familie;2012;317;0;0;0;0;0
431;431;woning familie;2013;0;0;0;0;0;0
432;432;woning familie;2014;0;0;0;0;0;0
433;433;woning familie;2015;0;0;0;0;0;0
434;434;woning familie;2016;0;0;0;0;0;0
435;435;woning particulier;2002;66;22;0;1;7;34
436;436;woning particulier;2003;81;23;0;0;5;45
437;437;woning particulier;2004;95;42;0;11;0;39
438;438;woning particulier;2005;85;38;0;2;0;45
439;439;woning particulier;2006;67;28;0;0;0;37
