"ID";"Vakantiekenmerken";"Perioden";"Totaal_1";"Auto_2";"TreinAutoslaaptrein_3";"Touringcar_4";"Vliegtuig_5";"OverigeVervoermiddelen_6";"GeorganiseerdeReisPerAuto_7";"GeorganiseerdeReisPerTouringcar_8";"GeorganiseerdeReisPerVliegtuig_9";"GeorganiseerdeReisMetOverigVervoer_10";"NietGeorganiseerdeReizen_11"
"173";"121";"2010JJ00";"    2101";"    1824";"     103";"      97";"      21";"      56";"     789";"      97";"      17";"     123";"    1075"
"174";"121";"2011JJ00";"    2074";"    1729";"     127";"     123";"      33";"      62";"     819";"     123";"      33";"     152";"     947"
"175";"121";"2012JJ00";"    2082";"    1827";"      94";"      86";"      42";"      34";"     929";"      86";"      42";"     113";"     913"
"176";"121";"2013JJ00";"    1903";"    1662";"      90";"      69";"      29";"      54";"     853";"      66";"      29";"     117";"     839"
"177";"121";"2014JJ00";"    2106";"    1832";"     101";"      78";"      43";"      52";"     936";"      78";"      43";"     133";"     916"
"178";"121";"2015JJ00";"    1963";"    1690";"      79";"      88";"      46";"      61";"     925";"      88";"      46";"     112";"     793"
"179";"121";"2016JJ00";"    2075";"    1836";"      62";"      64";"      46";"      67";"    1003";"      64";"      46";"     101";"     861"
"180";"122";"2002JJ00";"     765";"     493";"      39";"      63";"     148";"      22";"     145";"      63";"     148";"      50";"     359"
"181";"122";"2003JJ00";"     715";"     470";"      12";"      45";"     173";"      16";"     130";"      45";"     173";"      26";"     341"
"182";"122";"2004JJ00";"     697";"     454";"       7";"      49";"     176";"      11";"     203";"      49";"     176";"      14";"     254"
"183";"122";"2005JJ00";"     698";"     483";"       9";"      37";"     166";"       4";"     221";"      33";"     166";"       9";"     269"
"184";"122";"2006JJ00";"     824";"     582";"      14";"      37";"     183";"       8";"     284";"      37";"     183";"      18";"     302"
"185";"122";"2007JJ00";"     884";"     559";"      11";"      79";"     230";"       6";"     290";"      79";"     230";"      10";"     275"
"186";"122";"2008JJ00";"     947";"     579";"      18";"      48";"     282";"      19";"     295";"      48";"     279";"      38";"     287"
"187";"122";"2009JJ00";"     919";"     587";"      14";"      42";"     262";"      14";"     290";"      42";"     262";"      23";"     303"
"188";"122";"2010JJ00";"     914";"     552";"       9";"      39";"     293";"      21";"     303";"      39";"     289";"      26";"     257"
"189";"122";"2011JJ00";"     910";"     587";"      10";"      44";"     251";"      19";"     318";"      44";"     251";"      25";"     272"
"190";"122";"2012JJ00";"     936";"     526";"       0";"      33";"     353";"      23";"     278";"      33";"     353";"      23";"     248"
"191";"122";"2013JJ00";"    1035";"     625";"      11";"      47";"     331";"      21";"     306";"      47";"     325";"      28";"     328"
"192";"122";"2014JJ00";"     981";"     573";"       3";"      24";"     352";"      28";"     318";"      24";"     352";"      18";"     269"
"193";"122";"2015JJ00";"     958";"     507";"      11";"      20";"     404";"      15";"     278";"      20";"     404";"      24";"     232"
"194";"122";"2016JJ00";"    1069";"     668";"      13";"      46";"     333";"       9";"     375";"      46";"     333";"      20";"     295"
"195";"123";"2002JJ00";"     561";"      11";"       6";"       2";"     537";"       4";"       6";"       2";"     536";"       8";"       9"
"196";"123";"2003JJ00";"     526";"       7";"       2";"       2";"     514";"       0";"       4";"       2";"     514";"       2";"       4"
"197";"123";"2004JJ00";"     518";"      10";"       0";"       0";"     501";"       6";"       4";"       0";"     482";"       6";"      25"
"198";"123";"2005JJ00";"     543";"      12";"       0";"       1";"     523";"       7";"       3";"       1";"     520";"       4";"      14"
"199";"123";"2006JJ00";"     642";"      22";"       2";"       3";"     612";"       3";"       7";"       3";"     609";"       5";"      17"
"200";"123";"2007JJ00";"     731";"       8";"       0";"       1";"     714";"       8";"       3";"       1";"     714";"       5";"       7"
"201";"123";"2008JJ00";"     729";"       9";"       0";"       2";"     712";"       7";"       6";"       2";"     712";"       7";"       3"
"202";"123";"2009JJ00";"     625";"      16";"       0";"       0";"     604";"       5";"       5";"       0";"     604";"       5";"      10"
"203";"123";"2010JJ00";"     613";"       9";"       2";"       0";"     592";"       9";"       5";"       0";"     575";"      12";"      22"
"204";"123";"2011JJ00";"     588";"      20";"       0";"       2";"     564";"       1";"       7";"       2";"     564";"       1";"      13"
