"ID";"Vakantiekenmerken";"Perioden";"TotaalNaarOrganisatievormEnVervoer_1";"GeorganiseerdeReisPerAuto_2";"GeorganiseerdeReisPerTouringcar_3";"GeorganiseerdeReisPerVliegtuig_4";"GeorganiseerdeReisMetOverigVervoer_5";"NietGeorganiseerdeReizen_6"
"504";" 51";"2011JJ00";"     427";"     286";"       4";"       8";"      11";"     119"
"505";" 51";"2012JJ00";"     349";"       .";"       .";"       .";"       .";"       ."
"506";" 51";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"507";" 51";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"508";" 51";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"509";" 51";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"510";" 52";"2002JJ00";"     148";"       9";"       .";"       0";"       2";"     133"
"511";" 52";"2003JJ00";"     110";"      14";"       .";"       2";"       5";"      86"
"512";" 52";"2004JJ00";"     135";"      42";"       .";"       4";"       .";"      79"
"513";" 52";"2005JJ00";"      81";"      15";"       .";"       3";"       .";"      55"
"514";" 52";"2006JJ00";"      88";"      15";"       .";"       0";"       .";"      46"
"515";" 52";"2007JJ00";"      65";"      13";"       0";"       0";"       7";"      45"
"516";" 52";"2008JJ00";"      66";"      17";"       .";"       0";"       .";"      33"
"517";" 52";"2009JJ00";"      77";"      10";"       .";"       0";"       8";"      49"
"518";" 52";"2010JJ00";"     104";"      25";"       .";"       2";"       .";"      77"
"519";" 52";"2011JJ00";"      67";"      10";"       6";"       .";"       7";"      44"
"520";" 52";"2012JJ00";"      72";"       .";"       .";"       .";"       .";"       ."
"521";" 52";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"522";" 52";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"523";" 52";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"524";" 52";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"525";" 53";"2002JJ00";"      55";"       8";"       .";"       0";"       0";"      45"
"526";" 53";"2003JJ00";"      73";"       7";"       .";"       0";"       0";"      66"
"527";" 53";"2004JJ00";"      60";"      12";"       .";"       2";"       .";"      45"
"528";" 53";"2005JJ00";"      69";"      32";"       .";"       2";"       .";"      34"
"529";" 53";"2006JJ00";"      59";"      19";"       .";"       2";"       .";"      36"
"530";" 53";"2007JJ00";"      66";"      18";"       2";"       2";"       0";"      44"
"531";" 53";"2008JJ00";"      60";"      20";"       .";"       0";"       .";"      36"
"532";" 53";"2009JJ00";"      89";"      18";"       .";"       0";"       0";"      67"
"533";" 53";"2010JJ00";"      74";"      34";"       .";"       0";"       4";"      35"
"534";" 53";"2011JJ00";"      45";"      25";"       .";"       2";"       .";"      18"
"535";" 53";"2012JJ00";"      75";"       .";"       .";"       .";"       .";"       ."
"536";" 53";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"537";" 53";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"538";" 53";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"539";" 53";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"540";" 54";"2002JJ00";"      68";"       2";"       .";"       0";"       0";"      66"
"541";" 54";"2003JJ00";"      49";"       4";"       .";"       0";"       0";"      45"
"542";" 54";"2004JJ00";"      42";"       5";"       .";"       0";"       .";"      37"
"543";" 54";"2005JJ00";"      38";"       5";"       .";"       0";"       .";"      33"
"544";" 54";"2006JJ00";"      40";"       5";"       .";"       0";"       .";"      35"
"545";" 54";"2007JJ00";"      71";"       3";"       0";"       0";"       0";"      67"
"546";" 54";"2008JJ00";"      49";"       5";"       .";"       0";"       .";"      45"
"547";" 54";"2009JJ00";"      56";"       8";"       .";"       0";"       0";"      48"
"548";" 54";"2010JJ00";"      42";"      16";"       .";"       0";"       .";"      26"
"549";" 54";"2011JJ00";"      74";"       7";"       2";"       .";"       .";"      65"
"550";" 54";"2012JJ00";"      95";"       .";"       .";"       .";"       .";"       ."
"551";" 54";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"552";" 54";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"553";" 54";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"554";" 54";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"555";" 55";"2002JJ00";"      94";"       0";"       .";"       0";"      79";"      15"
"556";" 55";"2003JJ00";"      80";"       3";"       .";"       0";"      69";"       5"
"557";" 55";"2004JJ00";"      45";"       0";"       .";"       0";"       .";"       4"
"558";" 55";"2005JJ00";"      27";"       0";"       .";"       0";"       .";"       0"
"559";" 55";"2006JJ00";"      32";"       3";"       .";"       0";"       .";"       5"
"560";" 55";"2007JJ00";"      50";"       0";"       0";"       0";"      49";"       2"
"561";" 55";"2008JJ00";"      38";"       0";"       .";"       0";"       .";"       0"
"562";" 55";"2009JJ00";"      39";"       2";"       .";"       0";"      33";"       2"
"563";" 55";"2010JJ00";"      13";"       0";"       .";"       0";"      11";"       2"
"564";" 55";"2011JJ00";"      81";"       .";"       5";"       .";"      74";"       1"
"565";" 55";"2012JJ00";"      32";"       .";"       .";"       .";"       .";"       ."
"566";" 55";"2013JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"567";" 55";"2014JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"568";" 55";"2015JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"569";" 55";"2016JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"570";" 56";"2002JJ00";"      84";"      15";"       .";"       8";"       6";"      46"
"571";" 56";"2003JJ00";"     107";"      32";"       .";"       4";"      24";"      32"
"572";" 56";"2004JJ00";"      88";"      22";"       .";"       8";"       .";"      36"
"573";" 56";"2005JJ00";"      73";"      21";"       .";"       0";"       .";"      21"
"574";" 56";"2006JJ00";"      55";"      11";"       .";"       5";"       .";"      20"
"575";" 56";"2007JJ00";"     105";"      36";"      18";"      24";"       2";"      25"
"576";" 56";"2008JJ00";"      66";"      21";"       .";"      14";"       .";"      18"
"577";" 56";"2009JJ00";"      80";"      13";"       .";"      20";"       8";"      21"
"578";" 56";"2010JJ00";"      62";"      12";"       8";"      11";"       9";"      22"
"579";" 56";"2011JJ00";"      76";"      26";"       9";"       2";"      15";"      25"
