"ID";"BestemmingEnSeizoen";"Vakantiekenmerken";"Perioden";"TotaalNederlanders_1";"PercentageNederlanders_2";"Totaal_3";"GemiddeldPerNederlander_4";"GemiddeldPerDeelnemer_5";"Totaal_6";"GemiddeldPerNederlander_7";"GemiddeldPerDeelnemer_8";"GemiddeldPerVakantie_9";"Totaal_10";"GemiddeldPerNederlander_11";"GemiddeldPerDeelnemer_12";"GemiddeldPerVakantie_13";"Totaal_14";"GemiddeldPerNederlander_15";"GemiddeldPerDeelnemer_16";"GemiddeldPerPersoonPerVakantie_17";"GemiddeldPerPersoonPerVakantiedag_18"
"347";"A045879";"A046384";"2018JJ00";"    1146";"     6.8";"    1250";"     0.1";"     1.1";"    13.4";"     0.8";"    11.7";"    10.7";"    12.1";"     0.7";"    10.6";"     9.7";"    1044";"      62";"     911";"     835";"      78"
"348";"A045879";"A046385";"2017JJ00";"    2138";"    12.7";"    2774";"     0.2";"     1.3";"    13.5";"     0.8";"     6.3";"     4.8";"    10.7";"     0.6";"     5.0";"     3.8";"    1197";"      71";"     560";"     431";"      89"
"349";"A045879";"A046385";"2018JJ00";"    2135";"    12.6";"    2690";"     0.2";"     1.3";"    13.0";"     0.8";"     6.1";"     4.8";"    10.3";"     0.6";"     4.8";"     3.8";"    1228";"      72";"     575";"     457";"      94"
"350";"A045879";"A046386";"2017JJ00";"     774";"     4.6";"     898";"     0.1";"     1.2";"     7.4";"     0.4";"     9.6";"     8.3";"     6.5";"     0.4";"     8.4";"     7.3";"     493";"      29";"     638";"     550";"      66"
"351";"A045879";"A046386";"2018JJ00";"     660";"     3.9";"     745";"     0.0";"     1.1";"     6.1";"     0.4";"     9.2";"     8.2";"     5.3";"     0.3";"     8.1";"     7.2";"     390";"      23";"     591";"     524";"      64"
"352";"A045879";"A046387";"2017JJ00";"     884";"     5.3";"    1017";"     0.1";"     1.1";"     5.5";"     0.3";"     6.3";"     5.5";"     4.5";"     0.3";"     5.1";"     4.5";"     468";"      28";"     529";"     460";"      84"
"353";"A045879";"A046387";"2018JJ00";"     934";"     5.5";"    1074";"     0.1";"     1.1";"     5.6";"     0.3";"     6.0";"     5.2";"     4.5";"     0.3";"     4.8";"     4.2";"     442";"      26";"     473";"     411";"      79"
"354";"A045879";"A046388";"2017JJ00";"     794";"     4.7";"     899";"     0.1";"     1.1";"     3.6";"     0.2";"     4.5";"     4.0";"     2.7";"     0.2";"     3.4";"     3.0";"     276";"      16";"     348";"     307";"      77"
"355";"A045879";"A046388";"2018JJ00";"     775";"     4.6";"     864";"     0.1";"     1.1";"     4.8";"     0.3";"     6.3";"     5.6";"     4.0";"     0.2";"     5.1";"     4.6";"     327";"      19";"     422";"     378";"      67"
"356";"A045879";"A046389";"2017JJ00";"     550";"     3.3";"     573";"     0.0";"     1.0";"    10.3";"     0.6";"    18.7";"    17.9";"     9.7";"     0.6";"    17.6";"    16.9";"    1114";"      66";"    2025";"    1946";"     108"
"357";"A045879";"A046389";"2018JJ00";"     457";"     2.7";"     480";"     0.0";"     1.1";"     9.2";"     0.5";"    20.1";"    19.1";"     8.7";"     0.5";"    19.1";"    18.1";"     963";"      57";"    2109";"    2007";"     105"
"358";"A045879";"A046390";"2017JJ00";"    2610";"    15.5";"    3134";"     0.2";"     1.2";"    20.0";"     1.2";"     7.7";"     6.4";"    16.9";"     1.0";"     6.5";"     5.4";"     927";"      55";"     355";"     296";"      46"
